mold_code,pred,shap_top_feature,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,cast_pressure,sleeve_temperature,low_section_speed,Coolant_temperature
8412,0,,211.0,119.0,124.0,205.0,315.0,402.0,110.0,34.0
8412,0,,211.0,124.0,125.0,206.0,315.0,397.0,110.0,34.0
8412,0,,212.0,128.0,125.0,205.0,315.0,394.0,110.0,34.0
8412,0,,212.0,134.0,125.0,205.0,316.0,394.0,110.0,34.0
8412,0,,212.0,125.0,125.0,208.0,315.0,393.0,110.0,34.0
8412,0,,219.0,126.0,126.0,210.0,316.0,402.0,110.0,34.0
8412,0,,219.0,119.0,126.0,209.0,316.0,406.0,110.0,34.0
8412,0,,211.0,119.0,126.0,206.0,316.0,396.0,110.0,34.0
8412,0,,214.0,119.0,127.0,209.0,316.0,402.0,110.0,34.0
8412,0,,211.0,120.0,127.0,208.0,316.0,397.0,110.0,34.0
8412,0,,212.0,136.0,127.0,206.0,316.0,402.0,110.0,34.0
8412,0,,212.0,126.0,127.0,205.0,316.0,400.0,110.0,34.0
8412,0,,212.0,123.0,127.0,209.0,331.0,404.0,110.0,34.0
8412,0,,213.0,121.0,127.0,208.0,315.0,393.0,110.0,34.0
8412,0,,214.0,127.0,127.0,207.0,316.0,392.0,110.0,34.0
8412,0,,214.0,127.0,127.0,208.0,316.0,399.0,110.0,34.0
8412,0,,147.0,124.0,121.0,169.0,316.0,355.0,110.0,34.0
8412,0,,197.0,143.0,122.0,190.0,330.0,386.0,110.0,34.0
8412,0,,207.0,130.0,124.0,200.0,316.0,396.0,110.0,34.0
8412,0,,207.0,125.0,124.0,198.0,330.0,396.0,110.0,34.0
8412,0,,209.0,128.0,125.0,202.0,316.0,395.0,110.0,34.0
8412,0,,212.0,126.0,126.0,204.0,317.0,397.0,110.0,34.0
8412,0,,212.0,128.0,126.0,205.0,317.0,399.0,110.0,34.0
8412,0,,211.0,150.0,127.0,207.0,316.0,398.0,110.0,34.0
8412,0,,212.0,134.0,127.0,206.0,316.0,403.0,110.0,34.0
8412,0,,211.0,142.0,127.0,209.0,317.0,399.0,110.0,34.0
8412,0,,216.0,142.0,128.0,209.0,316.0,404.0,110.0,34.0
8412,0,,216.0,142.0,128.0,208.0,315.0,404.0,110.0,34.0
8412,0,,213.0,129.0,128.0,204.0,316.0,401.0,110.0,34.0
8412,0,,212.0,155.0,128.0,202.0,317.0,403.0,110.0,34.0
8412,0,,214.0,124.0,128.0,204.0,330.0,397.0,110.0,34.0
