id,line,name,mold_name,time,date,count,working,emergency_stop,molten_temp,facility_operation_cycleTime,production_cycletime,low_section_speed,high_section_speed,molten_volume,cast_pressure,biscuit_thickness,upper_mold_temp1,upper_mold_temp2,upper_mold_temp3,lower_mold_temp1,lower_mold_temp2,lower_mold_temp3,sleeve_temperature,physical_strength,Coolant_temperature,EMS_operation_time,registration_time,passorfail,tryshot_signal,mold_code,heating_furnace
72996,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,22:49:54,84,가동,ON,729.0,124,124,105.0,108.0,77.0,324.0,50.0,119.0,183.0,1449.0,202.0,191.0,1023.0,317.0,660.0,34.0,23,2019-03-11 22:49:54,0.0,,8722,
72999,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,22:52:10,85,가동,ON,729.0,123,125,105.0,108.0,76.0,325.0,47.0,117.0,180.0,1449.0,203.0,192.0,1010.0,315.0,652.0,34.0,23,2019-03-11 22:52:10,0.0,,8722,
73001,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,22:54:09,86,가동,ON,729.0,122,124,105.0,107.0,75.0,324.0,50.0,117.0,179.0,1449.0,201.0,193.0,1044.0,318.0,649.0,34.0,23,2019-03-11 22:54:09,0.0,,8722,
73004,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,22:56:18,87,가동,ON,730.0,125,127,105.0,109.0,74.0,324.0,48.0,116.0,178.0,1449.0,200.0,194.0,1061.0,316.0,652.0,34.0,23,2019-03-11 22:56:18,0.0,,8722,
73007,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,22:58:58,88,가동,ON,731.0,123,151,105.0,110.0,73.0,324.0,48.0,109.0,169.0,1449.0,187.0,192.0,1050.0,298.0,658.0,34.0,23,2019-03-11 22:58:58,0.0,,8722,
73012,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:01:38,89,가동,ON,731.0,123,151,105.0,107.0,72.0,325.0,48.0,109.0,162.0,1449.0,174.0,192.0,1050.0,279.0,658.0,34.0,23,2019-03-11 23:01:38,0.0,,8722,
73015,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:03:50,90,가동,ON,731.0,138,120,105.0,107.0,71.0,324.0,52.0,114.0,171.0,1449.0,189.0,188.0,1042.0,299.0,657.0,34.0,23,2019-03-11 23:03:50,0.0,,8722,
73018,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:05:52,91,가동,ON,731.0,119,120,105.0,107.0,70.0,324.0,50.0,117.0,176.0,1449.0,196.0,190.0,1050.0,312.0,658.0,34.0,23,2019-03-11 23:05:52,0.0,,8722,
73021,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:07:50,92,가동,ON,731.0,119,121,105.0,107.0,69.0,325.0,49.0,119.0,178.0,1449.0,201.0,192.0,1049.0,316.0,659.0,34.0,23,2019-03-11 23:07:50,0.0,,8722,
73024,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:09:46,93,가동,ON,731.0,119,121,105.0,108.0,69.0,325.0,49.0,119.0,180.0,1449.0,205.0,193.0,1060.0,317.0,662.0,34.0,23,2019-03-11 23:09:46,0.0,,8722,
73027,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:11:43,94,가동,ON,730.0,119,121,105.0,107.0,68.0,325.0,50.0,119.0,181.0,1449.0,204.0,195.0,1071.0,318.0,655.0,34.0,23,2019-03-11 23:11:43,0.0,,8722,
73030,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:13:44,95,가동,ON,729.0,120,125,105.0,106.0,67.0,325.0,50.0,119.0,180.0,1449.0,203.0,196.0,1071.0,327.0,650.0,34.0,23,2019-03-11 23:13:44,0.0,,8722,
73033,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:15:52,96,가동,ON,729.0,125,123,105.0,109.0,67.0,325.0,49.0,118.0,178.0,1449.0,202.0,197.0,1002.0,318.0,656.0,34.0,23,2019-03-11 23:15:52,0.0,,8722,
73036,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:17:51,97,가동,ON,728.0,120,122,105.0,109.0,66.0,324.0,49.0,118.0,179.0,1449.0,203.0,197.0,985.0,317.0,648.0,34.0,23,2019-03-11 23:17:51,0.0,,8722,
73039,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:19:59,98,가동,ON,728.0,121,122,105.0,109.0,65.0,324.0,48.0,118.0,179.0,1449.0,205.0,197.0,982.0,319.0,657.0,34.0,23,2019-03-11 23:19:59,0.0,,8722,
73042,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:22:09,99,가동,ON,728.0,120,122,105.0,108.0,64.0,325.0,49.0,119.0,180.0,1449.0,206.0,197.0,972.0,319.0,644.0,34.0,23,2019-03-11 23:22:09,0.0,,8722,
73045,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:24:13,100,가동,ON,728.0,120,124,105.0,108.0,63.0,325.0,48.0,118.0,179.0,1449.0,204.0,197.0,973.0,321.0,654.0,34.0,23,2019-03-11 23:24:13,0.0,,8722,
73048,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:26:15,101,가동,ON,728.0,123,124,105.0,110.0,63.0,324.0,48.0,118.0,178.0,1449.0,203.0,197.0,978.0,318.0,652.0,34.0,23,2019-03-11 23:26:15,0.0,,8722,
73051,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:28:18,102,가동,ON,728.0,121,123,105.0,109.0,62.0,325.0,48.0,118.0,179.0,1449.0,201.0,196.0,977.0,318.0,658.0,34.0,23,2019-03-11 23:28:18,0.0,,8722,
73054,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:30:23,103,가동,ON,729.0,121,123,105.0,106.0,60.0,324.0,51.0,118.0,180.0,1449.0,204.0,196.0,994.0,318.0,660.0,34.0,23,2019-03-11 23:30:23,0.0,,8722,
73057,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:32:26,104,가동,ON,729.0,123,125,105.0,108.0,59.0,324.0,48.0,117.0,177.0,1449.0,205.0,197.0,1017.0,317.0,662.0,34.0,23,2019-03-11 23:32:26,0.0,,8722,
73060,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:34:24,105,가동,ON,729.0,123,124,2.0,106.0,99.0,144.0,420.0,118.0,177.0,1449.0,203.0,197.0,992.0,315.0,654.0,34.0,23,2019-03-11 23:34:24,1.0,,8722,
73064,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:37:24,106,가동,ON,722.0,121,124,105.0,108.0,107.0,324.0,420.0,118.0,161.0,1449.0,181.0,197.0,992.0,280.0,653.0,34.0,23,2019-03-11 23:37:24,1.0,,8722,
73067,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:39:33,107,가동,ON,719.0,136,120,105.0,110.0,108.0,325.0,44.0,114.0,171.0,1449.0,190.0,193.0,958.0,298.0,650.0,34.0,23,2019-03-11 23:39:33,0.0,,8722,
73070,전자교반 3라인 2호기,TM Carrier RH,TM Carrier RH-Semi-Solid DIE-06,2019-03-11,23:41:35,108,가동,ON,718.0,118,120,105.0,107.0,107.0,325.0,47.0,117.0,174.0,1449.0,197.0,192.0,965.0,305.0,648.0,34.0,23,2019-03-11 23:41:35,0.0,,8722,
